x,y,rho,u,v,p,uu,vv,ww,_uv
0.54984033,-0.97064418,1.0019234,0.88903576,0.19129361,1.0027598,8.47E-06,3.04E-07,1.55E-12,-1.96E-06
0.56069732,-0.97064418,1.0019119,0.88960528,0.19075109,1.0027534,2.74E-06,2.26E-07,1.50E-12,-2.84E-07
0.57155436,-0.97064418,1.0019045,0.89017576,0.19022097,1.0027463,2.25E-06,1.77E-07,1.44E-12,-4.28E-07
0.58241135,-0.97064418,1.0018882,0.89075184,0.1897047,1.0027211,5.79E-07,2.09E-08,1.37E-12,1.73E-06
0.59326833,-0.97064418,1.0018787,0.89132649,0.18920143,1.0027114,0,0,1.31E-12,2.25E-06
0.60412532,-0.97064418,1.0018696,0.89190489,0.18870895,1.002701,0,1.72E-08,1.24E-12,1.49E-06
0.61498231,-0.97064418,1.001866,0.89248109,0.18822969,1.0026784,7.59E-07,3.50E-08,1.17E-12,-3.45E-08
0.62583929,-0.97064418,1.0018599,0.89305985,0.1877628,1.002669,6.52E-06,4.69E-07,1.11E-12,-1.41E-06
0.63669628,-0.97064418,1.0018487,0.89364928,0.18731053,1.0026602,5.14E-06,2.66E-07,1.05E-12,1.52E-06
0.64755327,-0.97064418,1.0018389,0.89423376,0.18686786,1.0026486,2.68E-06,4.40E-07,1.00E-12,-8.71E-08
0.65841025,-0.97064418,1.0018207,0.89482063,0.18644048,1.0026275,5.50E-06,7.11E-08,9.64E-13,6.76E-07
0.66926724,-0.97064418,1.0018164,0.8954047,0.18602303,1.0026155,4.48E-06,1.61E-07,9.31E-13,-4.08E-07
0.68012422,-0.97064418,1.0018053,0.89599681,0.18561834,1.0026041,4.08E-08,1.22E-07,9.08E-13,3.14E-06
