x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2];Uncertainty V [m/s]
35.8551;11.4474;4.27676;0.242167;0.00275501;-0.000623573;0.00790558;0.00596115
36.2123;11.4474;4.29363;0.250626;0.00269127;-0.000179906;0.00734284;0.00578334
36.5694;11.4474;4.31409;0.2596;0.00194822;0.000223774;0.00690605;0.0054327
36.9265;11.4474;4.3284;0.267582;0.0014762;-5.39169e-05;0.00670373;0.00522173
37.2836;11.4474;4.33739;0.277429;0.00138277;-0.000256496;0.00591248;0.00493128
37.6407;11.4474;4.3393;0.285228;0.00125732;-0.000243582;0.00503827;0.00458097
37.9978;11.4474;4.33746;0.2827;0.00143476;4.5932e-06;0.00410674;0.00429786
38.355;11.4474;4.33729;0.274088;0.00170422;0.000117667;0.0035517;0.00418566
38.7121;11.4474;4.34613;0.266385;0.00226141;-0.000203685;0.00361936;0.00442748
39.0692;11.4474;4.36206;0.267595;0.00238425;-0.000698171;0.00337255;0.00438056
39.4263;11.4474;4.37319;0.274035;0.00212818;-0.000860002;0.00333648;0.00426797
39.7834;11.4474;4.38028;0.280198;0.00159633;-0.000678855;0.00340459;0.00408286
40.1406;11.4474;4.38718;0.283889;0.00117581;-0.000472865;0.00376438;0.00405799
40.4977;11.4474;4.39065;0.285233;0.000918242;-0.000266564;0.00472978;0.00433898
40.8548;11.4474;4.39452;0.287478;0.00107362;0.000192683;0.00575586;0.00477126
41.2119;11.4474;4.40297;0.292134;0.00121102;0.000392829;0.0057285;0.00480955
41.569;11.4474;4.41577;0.299266;0.00142945;0.00034626;0.00492108;0.00460092
41.9261;11.4474;4.43084;0.297955;0.00155826;-7.06527e-05;0.00421887;0.00438829
42.2833;11.4474;4.44516;0.287298;0.00148231;-0.000275135;0.00349667;0.00407389
42.6404;11.4474;4.45459;0.268684;0.00145481;-0.000235362;0.00351046;0.00406828
42.9975;11.4474;4.46056;0.254056;0.00153064;-0.000279624;0.00372446;0.00418533
43.3546;11.4474;4.46424;0.249333;0.00154595;-0.000409132;0.00373667;0.00419628
43.7117;11.4474;4.46755;0.24951;0.00171048;-0.000490846;0.0037208;0.00425491
44.0689;11.4474;4.46911;0.250145;0.00174119;-0.000362917;0.00363869;0.00423473
44.426;11.4474;4.46772;0.250841;0.00181479;-3.90445e-05;0.00346339;0.00419451
44.7831;11.4474;4.46778;0.253864;0.00208431;0.000318846;0.00358984;0.00434901
45.1402;11.4474;4.4657;0.254315;0.00215553;0.000132244;0.00334326;0.00428127
45.4973;11.4474;4.46095;0.253255;0.0020539;-0.000234341;0.00315896;0.00416848
45.8545;11.4474;4.45973;0.250929;0.00269383;-0.000217;0.00408604;0.0047539
-44.8536;11.0903;3.91175;0.30416;0.0058033;0.00356837;0.00903531;0.00704467
-44.4965;11.0903;3.90653;0.310421;0.005282;0.00316486;0.00647198;0.00625939
-44.1394;11.0903;3.89967;0.322247;0.00693603;0.00381261;0.00728706;0.00688551
-43.7823;11.0903;3.88693;0.321407;0.00807835;0.00389389;0.00807844;0.00733866
-43.4251;11.0903;3.88407;0.322786;0.00893743;0.00445853;0.00914591;0.00776388
-43.068;11.0903;3.8869;0.338999;0.00941952;0.00518574;0.0100435;0.00805461
-42.7109;11.0903;3.88244;0.350342;0.00879922;0.00495363;0.00875211;0.00764882
-42.3538;11.0903;3.88133;0.359361;0.00898153;0.00527365;0.00947984;0.00785772
-41.9967;11.0903;3.88762;0.360142;0.00811998;0.00506147;0.00864124;0.00748716
-41.6396;11.0903;3.88997;0.349957;0.0071464;0.00481279;0.00750768;0.00700074
-41.2824;11.0903;3.88541;0.345932;0.00673742;0.00488715;0.00803849;0.00701805
-40.9253;11.0903;3.87821;0.343836;0.00624764;0.00430934;0.00802643;0.00689784
-40.5682;11.0903;3.88082;0.346181;0.00576791;0.00365893;0.00717904;0.00656936
-40.2111;11.0903;3.88131;0.347505;0.00501368;0.00244394;0.00556389;0.00593789
-39.854;11.0903;3.87773;0.345159;0.00471781;0.00142383;0.00478905;0.00562935
-39.4968;11.0903;3.8754;0.346597;0.00456393;0.000330129;0.00411121;0.00537746
-39.1397;11.0903;3.87739;0.356786;0.00443255;0.000142773;0.00393218;0.00528038
-38.7826;11.0903;3.88134;0.362175;0.00447212;0.000242034;0.00362484;0.00519518
-38.4255;11.0903;3.88355;0.362556;0.00560664;7.15986e-05;0.00295909;0.00534345
-38.0684;11.0903;3.8808;0.358418;0.00579349;7.93155e-05;0.00325294;0.00549134
-37.7113;11.0903;3.87311;0.357651;0.0061635;-0.000376423;0.00357496;0.0056975
-37.3541;11.0903;3.87877;0.365249;0.00604792;-6.84678e-05;0.00335222;0.00559766
-36.997;11.0903;3.8962;0.372842;0.00524714;8.22031e-05;0.00319828;0.00530579
-36.6399;11.0903;3.90595;0.376203;0.00429778;0.000450159;0.00326369;0.00502045
-36.2828;11.0903;3.89946;0.384872;0.00373119;0.000712025;0.00385418;0.00502838
-35.9257;11.0903;3.88512;0.403714;0.00403794;0.00117091;0.00403759;0.0051883
-35.5685;11.0903;3.86752;0.416302;0.00465462;0.000889994;0.00414101;0.00541468
-35.2114;11.0903;3.86029;0.41661;0.00544631;0.000378541;0.00399106;0.00560874
-34.8543;11.0903;3.86489;0.416952;0.00544687;-9.12344e-05;0.00372065;0.00552796
-34.4972;11.0903;3.87324;0.419565;0.00558241;4.34957e-05;0.00374096;0.00557475
-34.1401;11.0903;3.88062;0.418886;0.00517009;-0.000515491;0.00344944;0.0053602
