x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
-27.286;10.7956;7.01342;0.718882;0.00212799;-0.000120073;0.000672106
-26.9295;10.7956;7.00739;0.72308;0.00180822;-8.78385e-05;0.000700621
-26.5729;10.7956;7.00255;0.720764;0.00169062;-0.000142408;0.000854565
-26.2163;10.7956;6.99533;0.71442;0.00190489;-0.000357229;0.00106258
-25.8597;10.7956;6.98738;0.713013;0.001918;-0.000693184;0.0015082
-25.5031;10.7956;6.98814;0.716509;0.00214528;-0.000872767;0.00195032
-25.1465;10.7956;6.99394;0.721446;0.00201874;-0.000789927;0.0017264
-24.7899;10.7956;6.99736;0.729217;0.00185024;-0.000562583;0.00115343
-24.4333;10.7956;6.99697;0.73717;0.00176857;-0.000490332;0.000966949
-24.0768;10.7956;6.99738;0.740241;0.0019048;-0.000362307;0.000828461
-23.7202;10.7956;7.00569;0.740614;0.00171753;-0.000238788;0.000656547
-23.3636;10.7956;7.01845;0.740156;0.0017748;-0.000198126;0.000646723
-23.007;10.7956;7.02523;0.741548;0.00195489;-0.000245231;0.000615888
-22.6504;10.7956;7.02829;0.741931;0.00213956;-0.000372404;0.000629866
-22.2938;10.7956;7.02801;0.736218;0.00219104;-0.000333679;0.000684733
-21.9372;10.7956;7.03342;0.729629;0.0022959;-0.000206271;0.000817382
-21.5807;10.7956;7.04799;0.72581;0.00196571;-0.000190422;0.000745043
-21.2241;10.7956;7.06531;0.72675;0.00149189;-0.000106467;0.000668836
-20.8675;10.7956;7.07584;0.728471;0.00131545;-0.000186457;0.000614617
-20.5109;10.7956;7.08111;0.731338;0.00117853;-0.000200255;0.00056195
-20.1543;10.7956;7.08375;0.733857;0.00109316;-0.000199136;0.000528846
-19.7977;10.7956;7.08312;0.738013;0.00098228;-0.000135397;0.000429604
-19.4411;10.7956;7.07761;0.743046;0.000990213;-7.85354e-05;0.000484618
-19.0845;10.7956;7.07451;0.747229;0.001083;-8.58053e-05;0.000498342
-18.728;10.7956;7.07657;0.751447;0.00105397;-0.000140521;0.000505231
-18.3714;10.7956;7.08219;0.758157;0.00111676;-0.000172641;0.000543866
-18.0148;10.7956;7.08547;0.767395;0.00114803;-0.000194474;0.000554665
-17.6582;10.7956;7.08443;0.77532;0.0010469;-0.000183974;0.000566329
-17.3016;10.7956;7.08395;0.780126;0.0010818;-0.000228597;0.000522847
-16.945;10.7956;7.08672;0.780961;0.00106002;-0.000235124;0.000458313
-16.5884;10.7956;7.09116;0.778034;0.00109506;-0.000240915;0.000471796
-16.2318;10.7956;7.0918;0.772421;0.00102165;-0.000202595;0.000502046
-15.8753;10.7956;7.08881;0.769138;0.00108287;-0.000141819;0.0005215
-15.5187;10.7956;7.08969;0.769674;0.00109859;-0.000131885;0.000516811
